chart_id,chosen_label,chosen_value,correct_median,correct,trial_file
bar_vertical_06,5,68,68,true,trial1.csv
pie_17,7,64,53,false,trial1.csv
bar_horizontal_08,3,68,48,false,trial1.csv
pie_11,5,82,50.5,false,trial1.csv
bar_horizontal_05,5,32,29,false,trial1.csv
bar_horizontal_11,6,56,61.5,false,trial1.csv
bar_horizontal_20,3,98,55,false,trial1.csv
bar_horizontal_04,5,33,29,false,trial1.csv
bar_horizontal_07,4,98,51,false,trial1.csv
pie_01,2,57,23,false,trial1.csv
bar_vertical_09,6,73,46,false,trial1.csv
bar_horizontal_14,4,39,77,false,trial1.csv
bar_vertical_03,4,73,73,true,trial1.csv
bar_vertical_18,5,15,32,false,trial1.csv
bar_vertical_16,4,56,56,true,trial1.csv
bar_vertical_10,1,56,49,false,trial1.csv
pie_05,5,80,71,false,trial1.csv
bar_horizontal_10,4,46,42.5,false,trial1.csv
bar_horizontal_09,3,65,65,true,trial1.csv
pie_20,3,96,53,false,trial1.csv
pie_14,2,83,54,false,trial1.csv
bar_horizontal_13,3,33,72,false,trial1.csv
pie_03,3,66,56,false,trial1.csv
pie_10,2,61,35,false,trial1.csv
pie_08,4,79,72,false,trial1.csv
bar_horizontal_03,4,70,57,false,trial1.csv
pie_09,2,42,41,false,trial1.csv
pie_13,3,70,59,false,trial1.csv
pie_02,5,39,37.5,false,trial1.csv
bar_horizontal_02,4,72,71,false,trial1.csv
bar_vertical_02,7,51,45.5,false,trial1.csv
bar_vertical_11,4,73,73,true,trial1.csv
bar_vertical_13,6,60,59,false,trial1.csv
bar_horizontal_16,8,70,46,false,trial1.csv
bar_vertical_14,9,61,18,false,trial1.csv
pie_06,5,73,60,false,trial1.csv
bar_vertical_01,9,57,54.5,false,trial1.csv
bar_vertical_08,5,56,58,false,trial1.csv
bar_horizontal_06,7,64,53,false,trial1.csv
pie_16,5,63,39,false,trial1.csv
bar_vertical_19,1,62,62,true,trial1.csv
pie_18,2,69,56,false,trial1.csv
bar_vertical_20,6,56,43,false,trial1.csv
bar_vertical_17,8,67,49.5,false,trial1.csv
bar_horizontal_17,5,46,46,true,trial1.csv
bar_vertical_07,7,54,68.5,false,trial1.csv
bar_horizontal_18,2,64,70,false,trial1.csv
bar_vertical_05,5,48,46,false,trial1.csv
bar_vertical_04,5,79,45,false,trial1.csv
pie_15,4,78,36.5,false,trial1.csv
pie_12,2,35,35,true,trial1.csv
bar_vertical_12,5,69,32,false,trial1.csv
pie_04,2,32,29,false,trial1.csv
pie_07,2,60,41,false,trial1.csv
bar_vertical_15,9,64,59,false,trial1.csv
pie_19,9,57,56,false,trial1.csv
bar_horizontal_01,7,77,75,false,trial1.csv
bar_horizontal_15,4,62,68,false,trial1.csv
