chart_id,chosen_label,chosen_value,correct_median,correct
bar_vertical_06,4,100,68,FALSE
pie_17,6,94,53,FALSE
bar_horizontal_08,3,68,48,FALSE
pie_11,6,38,50.5,FALSE
bar_horizontal_05,6,82,29,FALSE
bar_horizontal_11,6,56,61.5,FALSE
bar_horizontal_20,3,98,55,FALSE
bar_horizontal_04,5,33,29,FALSE
bar_horizontal_07,5,96,51,FALSE
pie_01,3,22,23,FALSE
bar_vertical_09,5,51,46,FALSE
bar_horizontal_14,5,77,77,TRUE
bar_vertical_03,5,19,73,FALSE
bar_vertical_18,6,72,32,FALSE
bar_vertical_16,4,56,56,TRUE
bar_vertical_10,3,66,49,FALSE
pie_05,4,71,71,TRUE
bar_horizontal_10,6,35,42.5,FALSE
bar_horizontal_09,3,65,65,TRUE
pie_20,4,53,53,TRUE
pie_14,4,89,54,FALSE
bar_horizontal_13,4,81,72,FALSE
pie_03,6,23,56,FALSE
pie_10,5,85,35,FALSE
pie_08,4,79,72,FALSE
bar_horizontal_03,4,70,57,FALSE
pie_09,4,94,41,FALSE
pie_13,3,70,59,FALSE
pie_02,3,93,37.5,FALSE
bar_horizontal_02,3,69,71,FALSE
bar_vertical_02,5,19,45.5,FALSE
bar_vertical_11,4,73,73,TRUE
bar_vertical_13,6,60,59,FALSE
bar_horizontal_16,4,38,46,FALSE
bar_vertical_14,4,92,18,FALSE
pie_06,4,47,60,FALSE
bar_vertical_01,6,71,54.5,FALSE
bar_vertical_08,3,70,58,FALSE
bar_horizontal_06,5,77,53,FALSE
pie_16,5,63,39,FALSE
bar_vertical_19,3,88,62,FALSE
pie_18,5,56,56,TRUE
bar_vertical_20,4,96,43,FALSE
bar_vertical_17,5,93,49.5,FALSE
bar_horizontal_17,4,59,46,FALSE
bar_vertical_07,5,86,68.5,FALSE
bar_horizontal_18,4,89,70,FALSE
bar_vertical_05,5,48,46,FALSE
bar_vertical_04,5,79,45,FALSE
pie_15,4,78,36.5,FALSE
pie_12,4,59,35,FALSE
bar_vertical_12,4,92,32,FALSE
pie_04,4,41,29,FALSE
pie_07,2,60,41,FALSE
bar_vertical_15,5,96,59,FALSE
pie_19,3,56,56,TRUE
bar_horizontal_01,4,82,75,FALSE
bar_horizontal_15,5,88,68,FALSE
bar_horizontal_19,4,75,50,FALSE
bar_horizontal_12,4,38,38,TRUE
